Initial GenePool BestElite's Error Rate: 42.0%

   1-th training, BestElite's ErrorRate: 11.0%
   2-th training, BestElite's ErrorRate: 11.0%
   3-th training, BestElite's ErrorRate: 11.0%
   4-th training, BestElite's ErrorRate: 11.0%
   5-th training, BestElite's ErrorRate: 11.0%
   6-th training, BestElite's ErrorRate: 11.0%
   7-th training, BestElite's ErrorRate: 11.0%
   8-th training, BestElite's ErrorRate: 11.0%
   9-th training, BestElite's ErrorRate: 11.0%
  10-th training, BestElite's ErrorRate: 11.0%
  11-th training, BestElite's ErrorRate: 11.0%
  12-th training, BestElite's ErrorRate: 11.0%
  13-th training, BestElite's ErrorRate: 11.0%
  14-th training, BestElite's ErrorRate: 11.0%
  15-th training, BestElite's ErrorRate: 10.0%
  16-th training, BestElite's ErrorRate: 10.0%
  17-th training, BestElite's ErrorRate: 10.0%
  18-th training, BestElite's ErrorRate: 10.0%
  19-th training, BestElite's ErrorRate: 13.0%
  20-th training, BestElite's ErrorRate: 13.0%
  21-th training, BestElite's ErrorRate: 13.0%
  22-th training, BestElite's ErrorRate: 10.0%
  23-th training, BestElite's ErrorRate: 10.0%
  24-th training, BestElite's ErrorRate: 10.0%
  25-th training, BestElite's ErrorRate: 10.0%
  26-th training, BestElite's ErrorRate: 10.0%
  27-th training, BestElite's ErrorRate: 11.0%
  28-th training, BestElite's ErrorRate: 11.0%
  29-th training, BestElite's ErrorRate: 11.0%
  30-th training, BestElite's ErrorRate: 11.0%
  31-th training, BestElite's ErrorRate: 11.0%
  32-th training, BestElite's ErrorRate: 11.0%
  33-th training, BestElite's ErrorRate: 11.0%
  34-th training, BestElite's ErrorRate: 11.0%
  35-th training, BestElite's ErrorRate: 11.0%
  36-th training, BestElite's ErrorRate: 11.0%
  37-th training, BestElite's ErrorRate: 11.0%
  38-th training, BestElite's ErrorRate: 11.0%
  39-th training, BestElite's ErrorRate: 11.0%
  40-th training, BestElite's ErrorRate: 11.0%
  41-th training, BestElite's ErrorRate: 11.0%
  42-th training, BestElite's ErrorRate: 11.0%
  43-th training, BestElite's ErrorRate: 11.0%
  44-th training, BestElite's ErrorRate: 11.0%
  45-th training, BestElite's ErrorRate: 11.0%
  46-th training, BestElite's ErrorRate: 11.0%
  47-th training, BestElite's ErrorRate: 11.0%
  48-th training, BestElite's ErrorRate: 11.0%
  49-th training, BestElite's ErrorRate: 11.0%
  50-th training, BestElite's ErrorRate: 11.0%
  51-th training, BestElite's ErrorRate: 11.0%
  52-th training, BestElite's ErrorRate: 11.0%
  53-th training, BestElite's ErrorRate: 11.0%
  54-th training, BestElite's ErrorRate: 11.0%
  55-th training, BestElite's ErrorRate: 11.0%
  56-th training, BestElite's ErrorRate: 11.0%
  57-th training, BestElite's ErrorRate: 11.0%
  58-th training, BestElite's ErrorRate: 11.0%
  59-th training, BestElite's ErrorRate: 11.0%
  60-th training, BestElite's ErrorRate: 11.0%
  61-th training, BestElite's ErrorRate: 11.0%
  62-th training, BestElite's ErrorRate: 13.0%
  63-th training, BestElite's ErrorRate: 13.0%
  64-th training, BestElite's ErrorRate: 13.0%
  65-th training, BestElite's ErrorRate: 11.0%
  66-th training, BestElite's ErrorRate: 11.0%
  67-th training, BestElite's ErrorRate: 11.0%
  68-th training, BestElite's ErrorRate: 11.0%
  69-th training, BestElite's ErrorRate: 11.0%
  70-th training, BestElite's ErrorRate: 11.0%
  71-th training, BestElite's ErrorRate: 11.0%
  72-th training, BestElite's ErrorRate: 11.0%
  73-th training, BestElite's ErrorRate: 11.0%
  74-th training, BestElite's ErrorRate: 10.0%
  75-th training, BestElite's ErrorRate: 10.0%
  76-th training, BestElite's ErrorRate: 10.0%
  77-th training, BestElite's ErrorRate: 10.0%
  78-th training, BestElite's ErrorRate: 10.0%
  79-th training, BestElite's ErrorRate: 10.0%
  80-th training, BestElite's ErrorRate: 10.0%
  81-th training, BestElite's ErrorRate: 11.0%
  82-th training, BestElite's ErrorRate: 11.0%
  83-th training, BestElite's ErrorRate: 11.0%
  84-th training, BestElite's ErrorRate: 11.0%
  85-th training, BestElite's ErrorRate: 11.0%
  86-th training, BestElite's ErrorRate: 11.0%
  87-th training, BestElite's ErrorRate: 11.0%
  88-th training, BestElite's ErrorRate: 10.0%
  89-th training, BestElite's ErrorRate: 10.0%
  90-th training, BestElite's ErrorRate: 10.0%
  91-th training, BestElite's ErrorRate: 10.0%
  92-th training, BestElite's ErrorRate: 10.0%
  93-th training, BestElite's ErrorRate: 10.0%
  94-th training, BestElite's ErrorRate: 10.0%
  95-th training, BestElite's ErrorRate: 12.0%
  96-th training, BestElite's ErrorRate: 12.0%
  97-th training, BestElite's ErrorRate: 12.0%
  98-th training, BestElite's ErrorRate: 12.0%
  99-th training, BestElite's ErrorRate: 12.0%
 100-th training, BestElite's ErrorRate: 12.0%
 101-th training, BestElite's ErrorRate: 12.0%
 102-th training, BestElite's ErrorRate: 12.0%
 103-th training, BestElite's ErrorRate: 12.0%
 104-th training, BestElite's ErrorRate: 12.0%
 105-th training, BestElite's ErrorRate: 12.0%
 106-th training, BestElite's ErrorRate: 12.0%
 107-th training, BestElite's ErrorRate: 12.0%
 108-th training, BestElite's ErrorRate: 12.0%
 109-th training, BestElite's ErrorRate: 10.0%
 110-th training, BestElite's ErrorRate: 10.0%
 111-th training, BestElite's ErrorRate: 10.0%
 112-th training, BestElite's ErrorRate: 10.0%
 113-th training, BestElite's ErrorRate: 10.0%
 114-th training, BestElite's ErrorRate: 10.0%
 115-th training, BestElite's ErrorRate: 10.0%
 116-th training, BestElite's ErrorRate: 10.0%
 117-th training, BestElite's ErrorRate: 10.0%
 118-th training, BestElite's ErrorRate: 10.0%
 119-th training, BestElite's ErrorRate: 10.0%
 120-th training, BestElite's ErrorRate: 10.0%
 121-th training, BestElite's ErrorRate: 10.0%
 122-th training, BestElite's ErrorRate: 10.0%
 123-th training, BestElite's ErrorRate: 10.0%
 124-th training, BestElite's ErrorRate: 10.0%
 125-th training, BestElite's ErrorRate: 10.0%
 126-th training, BestElite's ErrorRate: 10.0%
