Initial Perceptron Parameter's Error Rate: 50.0% -> [-291.64811035159937, 322.26439735553913, 476.13518923662605]

    1-th training, ErrorRate: 50.0% -> [-291.6981103515994, 318.86439735553915, 475.26518923662604]
    2-th training, ErrorRate: 50.0% -> [-291.7481103515994, 315.62439735553914, 474.65518923662603]
    3-th training, ErrorRate: 50.0% -> [-291.7981103515994, 311.13939735553913, 473.555189236626]
    4-th training, ErrorRate: 50.0% -> [-291.8481103515994, 307.5943973555391, 472.735189236626]
    5-th training, ErrorRate: 50.0% -> [-291.8981103515994, 303.7093973555391, 471.675189236626]
    6-th training, ErrorRate: 50.0% -> [-291.94811035159944, 299.70439735553913, 471.250189236626]
    7-th training, ErrorRate: 50.0% -> [-291.99811035159945, 296.06939735553914, 470.445189236626]
    8-th training, ErrorRate: 50.0% -> [-292.04811035159946, 291.8943973555391, 469.47518923662597]
    9-th training, ErrorRate: 50.0% -> [-292.0981103515995, 289.3943973555391, 468.820189236626]
   10-th training, ErrorRate: 50.0% -> [-292.1481103515995, 285.05939735553915, 468.180189236626]
   11-th training, ErrorRate: 50.0% -> [-292.1981103515995, 281.82939735553913, 467.310189236626]
   12-th training, ErrorRate: 50.0% -> [-292.2481103515995, 276.70439735553913, 466.815189236626]
   13-th training, ErrorRate: 50.0% -> [-292.2981103515995, 273.49439735553915, 466.035189236626]
   14-th training, ErrorRate: 50.0% -> [-292.34811035159953, 269.8443973555392, 465.15518923662603]
   15-th training, ErrorRate: 50.0% -> [-292.39811035159954, 266.3443973555392, 464.07018923662605]
   16-th training, ErrorRate: 50.0% -> [-292.44811035159955, 263.1993973555392, 463.53018923662603]
   17-th training, ErrorRate: 50.0% -> [-292.49811035159956, 260.8843973555392, 463.245189236626]
   18-th training, ErrorRate: 50.0% -> [-292.5481103515996, 257.8143973555392, 462.355189236626]
   19-th training, ErrorRate: 50.0% -> [-292.5981103515996, 254.9493973555392, 461.57518923662604]
   20-th training, ErrorRate: 50.0% -> [-292.6481103515996, 251.9793973555392, 460.74018923662607]
   21-th training, ErrorRate: 50.0% -> [-292.6981103515996, 249.6593973555392, 460.0401892366261]
   22-th training, ErrorRate: 50.0% -> [-292.7481103515996, 246.9293973555392, 459.5351892366261]
   23-th training, ErrorRate: 50.0% -> [-292.79811035159963, 244.0843973555392, 458.7151892366261]
   24-th training, ErrorRate: 50.0% -> [-292.84811035159964, 240.3943973555392, 458.1551892366261]
   25-th training, ErrorRate: 50.0% -> [-292.89811035159966, 236.72939735553922, 457.0701892366261]
   26-th training, ErrorRate: 50.0% -> [-292.94811035159967, 233.19439735553922, 456.2601892366261]
   27-th training, ErrorRate: 50.0% -> [-292.9981103515997, 229.69939735553922, 455.2601892366261]
   28-th training, ErrorRate: 50.0% -> [-293.0481103515997, 225.53439735553923, 454.7401892366261]
   29-th training, ErrorRate: 50.0% -> [-293.0981103515997, 222.80939735553923, 453.9851892366261]
   30-th training, ErrorRate: 50.0% -> [-293.1481103515997, 218.92939735553924, 453.40018923662615]
   31-th training, ErrorRate: 50.0% -> [-293.1981103515997, 214.99939735553923, 452.65518923662614]
   32-th training, ErrorRate: 50.0% -> [-293.24811035159973, 211.47439735553922, 451.7351892366261]
   33-th training, ErrorRate: 50.0% -> [-293.29811035159975, 207.5493973555392, 451.22518923662614]
   34-th training, ErrorRate: 50.0% -> [-293.34811035159976, 204.0593973555392, 451.0501892366261]
   35-th training, ErrorRate: 50.0% -> [-293.39811035159977, 200.8843973555392, 450.60518923662613]
   36-th training, ErrorRate: 50.0% -> [-293.4481103515998, 198.04939735553918, 449.58518923662615]
   37-th training, ErrorRate: 50.0% -> [-293.4981103515998, 194.18939735553917, 448.66018923662614]
   38-th training, ErrorRate: 50.0% -> [-293.5481103515998, 190.18939735553917, 448.03518923662614]
   39-th training, ErrorRate: 50.0% -> [-293.5981103515998, 186.99939735553917, 447.51518923662616]
   40-th training, ErrorRate: 50.0% -> [-293.6481103515998, 183.86439735553918, 446.71018923662615]
   41-th training, ErrorRate: 50.0% -> [-293.69811035159984, 180.33939735553918, 446.25018923662617]
   42-th training, ErrorRate: 50.0% -> [-293.74811035159985, 176.42939735553918, 445.39018923662616]
   43-th training, ErrorRate: 50.0% -> [-293.79811035159986, 172.42439735553918, 444.1851892366262]
   44-th training, ErrorRate: 50.0% -> [-293.84811035159987, 169.42439735553918, 443.2201892366262]
   45-th training, ErrorRate: 50.0% -> [-293.8981103515999, 165.98939735553918, 442.2401892366262]
   46-th training, ErrorRate: 50.0% -> [-293.9481103515999, 162.39439735553918, 440.95018923662616]
   47-th training, ErrorRate: 50.0% -> [-293.9981103515999, 158.9493973555392, 439.70018923662616]
   48-th training, ErrorRate: 50.0% -> [-294.0481103515999, 155.4343973555392, 438.75018923662617]
   49-th training, ErrorRate: 50.0% -> [-294.0981103515999, 151.8743973555392, 438.1851892366262]
   50-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   51-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   52-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   53-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   54-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   55-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   56-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   57-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   58-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   59-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   60-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   61-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   62-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   63-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   64-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   65-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   66-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   67-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   68-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   69-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   70-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   71-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   72-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   73-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   74-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   75-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   76-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   77-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   78-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   79-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   80-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   81-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   82-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   83-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
   84-th training, ErrorRate: 50.0% -> [-294.14811035159994, 148.0843973555392, 437.39518923662615]
