Initial Perceptron Parameter's Error Rate: 50.0% -> [-733.2523296631203, 198.10434115215162, 766.609283154683]

    1-th training, ErrorRate: 50.0% -> [-733.7523296631203, 164.10434115215162, 757.909283154683]
    2-th training, ErrorRate: 50.0% -> [-734.2523296631203, 131.7043411521516, 751.8092831546829]
    3-th training, ErrorRate: 50.0% -> [-734.7523296631203, 86.85434115215162, 740.8092831546829]
    4-th training, ErrorRate: 50.0% -> [-735.2523296631203, 51.404341152151616, 732.6092831546829]
    5-th training, ErrorRate: 51.0% -> [-735.7523296631203, 12.554341152151615, 722.0092831546829]
    6-th training, ErrorRate: 59.0% -> [-736.2523296631203, -27.495658847848382, 717.7592831546829]
    7-th training, ErrorRate: 78.0% -> [-736.7523296631203, -63.845658847848384, 709.7092831546829]
    8-th training, ErrorRate: 83.0% -> [-737.2523296631203, -105.59565884784838, 700.0092831546829]
    9-th training, ErrorRate: 82.0% -> [-737.7523296631203, -130.59565884784837, 693.4592831546829]
   10-th training, ErrorRate: 82.0% -> [-737.7523296631203, -130.59565884784837, 693.4592831546829]
   11-th training, ErrorRate: 72.0% -> [-738.2523296631203, -162.89565884784838, 684.7592831546829]
   12-th training, ErrorRate: 72.0% -> [-738.2523296631203, -162.89565884784838, 684.7592831546829]
   13-th training, ErrorRate: 72.0% -> [-738.2523296631203, -162.89565884784838, 684.7592831546829]
   14-th training, ErrorRate: 72.0% -> [-738.2523296631203, -162.89565884784838, 684.7592831546829]
   15-th training, ErrorRate: 55.0% -> [-738.7523296631203, -197.89565884784838, 673.9092831546828]
   16-th training, ErrorRate: 55.0% -> [-738.7523296631203, -197.89565884784838, 673.9092831546828]
   17-th training, ErrorRate: 55.0% -> [-738.7523296631203, -197.89565884784838, 673.9092831546828]
   18-th training, ErrorRate: 55.0% -> [-738.7523296631203, -197.89565884784838, 673.9092831546828]
   19-th training, ErrorRate: 55.0% -> [-738.7523296631203, -197.89565884784838, 673.9092831546828]
   20-th training, ErrorRate: 55.0% -> [-738.7523296631203, -197.89565884784838, 673.9092831546828]
   21-th training, ErrorRate: 55.0% -> [-738.7523296631203, -197.89565884784838, 673.9092831546828]
   22-th training, ErrorRate: 55.0% -> [-738.7523296631203, -197.89565884784838, 673.9092831546828]
   23-th training, ErrorRate: 55.0% -> [-738.7523296631203, -197.89565884784838, 673.9092831546828]
